시도,시군구코드,시군구명,위도,경도,축척,행정구역최소X좌표,행정구역최소Y좌표,행정구역최대X좌표,행정구역최대Y좌표,매핑코드,상태,자치구구분,지진해일발생분류,지진구역
41,210,광명시,37.44537048,126.86485426,25000,126.82596029,37.40138188,126.90059332,37.49520891,41210,Y,Y,,2
41,220,평택시,37.01184983,126.98860253,100000,126.77821116,36.90445033,127.15442089,37.14472155,41220,Y,Y,,2
41,250,동두천시,37.91653719,127.07799188,50000,127.00778226,37.85983416,127.15562905,37.98131958,41250,Y,Y,,2
41,270,안산시,37.3219,126.8308,100000,126.82589,37.31829,126.83573,37.32554,41270,N,Y,,1
41,271,안산시상록구,37.3116425,126.86535502,25000,126.804412,37.26567852,126.93953573,37.36504619,41271,Y,N,,2
41,273,안산시단원구,37.281323,126.69031389,100000,126.37866788,37.08026681,126.89722667,37.37679357,41273,Y,N,,1
41,280,고양시,37.6583,126.8319,100000,126.82704,37.65478,126.83692,37.66203,41280,N,Y,,1
41,281,고양시덕양구,37.65605407,126.8787341,50000,126.77267628,37.57460272,126.99423797,37.74927469,41281,Y,N,,1
41,285,고양시일산동구,37.67937864,126.79741848,25000,126.74084856,37.6221714,126.85495227,37.73714217,41285,Y,N,,1
41,287,고양시일산서구,37.67912459,126.72725936,25000,126.66631111,37.63890464,126.78125016,37.70639489,41287,Y,N,,1
41,290,과천시,37.43364633,127.00311743,25000,126.96131308,37.40065902,127.04745344,37.46734941,41290,Y,Y,,1
41,310,구리시,37.60046011,127.13072956,25000,127.0972528,37.55980604,127.16918061,37.64628432,41310,Y,Y,,1
41,360,남양주시,37.66316282,127.24318296,100000,127.08121175,37.5069076,127.37917725,37.78043474,41360,Y,Y,,1
41,370,오산시,37.16339253,127.05116461,10000,126.99514403,37.1253566,127.10363819,37.2006995,41370,Y,Y,,1
41,390,시흥시,37.38910045,126.78774915,25000,126.68203745,37.31338997,126.88190034,37.47255071,41390,Y,Y,,1
41,410,군포시,37.34319869,126.92128828,25000,126.87273484,37.30512868,126.96243977,37.37911058,41410,Y,Y,,1
41,430,의왕시,37.36234467,126.98962018,25000,126.92944392,37.3003145,127.04703884,37.41564421,41430,Y,Y,,1
41,450,하남시,37.52290767,127.20620081,50000,127.13968677,37.46887,127.2875661,37.59199153,41450,Y,Y,,1
41,460,용인시,37.2412,127.1774,100000,127.17255,37.23765,127.18241,37.24487,41460,N,Y,,1
41,461,용인시처인구,37.20344004,127.25301942,100000,127.10866117,37.084464,127.42981179,37.36041676,41461,Y,N,,1
41,463,용인시기흥구,37.26743739,127.12154729,25000,127.06507204,37.21634287,127.17709881,37.3246847,41463,Y,N,,1
41,465,용인시수지구,37.33346027,127.07151579,50000,127.01607977,37.29463682,127.14245229,37.37240374,41465,Y,N,,1
41,480,파주시,37.85899796,126.80566424,100000,126.6618347,37.68927771,127.01702066,38.0046667,41480,Y,Y,,1
41,500,이천시,37.2100404,127.48111875,100000,127.32971316,37.04262858,127.63782183,37.36150561,41500,Y,Y,,1
41,550,안성시,37.03494431,127.30305546,100000,127.10230271,36.89352411,127.51859309,37.15587916,41550,Y,Y,,1
41,570,김포시,37.67984843,126.62602673,100000,126.51454789,37.57955153,126.80492056,37.79266134,41570,Y,Y,,1
41,590,화성시,37.16880564,126.85452253,100000,126.61179456,37.00915457,127.16131351,37.29398144,41590,Y,Y,,1
41,610,광주시,37.40298451,127.30115696,100000,127.13172368,37.26566442,127.44640137,37.53573296,41610,Y,Y,,1
41,630,양주시,37.80870632,127.0012413,100000,126.90228769,37.66868452,127.12206638,37.94201467,41630,Y,Y,,1
41,650,포천시,37.97005404,127.25043085,100000,127.09027972,37.75290656,127.44695493,38.18883595,41650,Y,Y,,1
41,670,여주시,37.30253879,127.61578049,25000,127.39819778,37.13501648,127.76855382,37.43979912,44270,Y,Y,,1
41,730,여주시,37.2997,127.618,100000,127.398181,37.135017,127.76854,37.439799,41730,N,N,,1
41,800,연천군,38.11189986,126.99441473,100000,126.74789072,37.92732606,127.19222763,38.29201706,41800,Y,Y,,1
41,820,가평군,37.8186779,127.45026946,100000,127.26650225,37.57182409,127.61770455,38.05096677,41820,Y,Y,,1
41,830,양평군,37.5182226,127.57865983,100000,127.30475287,37.36703692,127.84944756,37.6715318,41830,Y,Y,,1
42,110,춘천시,37.89012749,127.74006999,100000,127.50681695,37.67561929,128.02934116,38.0851815,42110,Y,Y,,1
42,130,원주시,37.3083862,127.93108455,100000,127.7438384,37.14429042,128.21752823,37.5068171,42130,Y,Y,,1
42,150,강릉시,37.70945856,128.83190567,100000,128.5801967,37.50314733,129.07300348,37.91801687,42150,Y,Y,Y,1
42,170,동해시,37.50713064,129.05595019,50000,128.95759333,37.42657905,129.16060294,37.60606759,42170,Y,Y,Y,1
42,190,태백시,37.17283678,128.98012475,100000,128.86715115,37.06230104,129.09577437,37.34586404,42190,Y,Y,,1
42,210,속초시,38.17639789,128.52016996,50000,128.41978423,38.11928097,128.61484154,38.23099124,42210,Y,Y,Y,1
42,230,삼척시,37.27753545,129.1217963,100000,128.84578938,37.03882853,129.3640088,37.47674074,42230,Y,Y,Y,1
42,720,홍천군,37.74488089,128.07416694,200000,127.53520795,37.55316994,128.58840774,37.94531401,42720,Y,Y,,1
42,730,횡성군,37.50977039,128.07732963,100000,127.75920792,37.30202663,128.30237439,37.6811067,42730,Y,Y,,1
42,750,영월군,37.20363931,128.5013549,200000,128.11297536,37.0283295,128.90970996,37.40820919,42750,Y,Y,,1
42,760,평창군,37.55658147,128.48259247,100000,128.2434861,37.26673857,128.76529568,37.82097797,42760,Y,Y,,1
42,770,정선군,37.37870859,128.73922958,100000,128.50605682,37.14794514,128.99055651,37.59270803,42770,Y,Y,,1
42,780,철원군,38.24785834,127.42154975,100000,127.10925307,38.08979897,127.8930717,38.35374802,42780,Y,Y,,1
